"","Name","ID Number","Date","RTNG"
"239","Bareev, Evgeny",4100140,1995-01-01,2675
"240","Bareev, Evgeny",4100140,1994-07-01,2675
"241","Bareev, Evgeny",4100140,1994-01-01,2685
"242","Bareev, Evgeny",4100140,1993-07-01,2660
"243","Bareev, Evgeny",4100140,1993-01-01,2670
"244","Bareev, Evgeny",4100140,1992-07-01,2670
"245","Bareev, Evgeny",4100140,1992-01-01,2635
"246","Bareev, Evgeny",4100140,1991-07-01,2680
"247","Bareev, Evgeny",4100140,1991-01-01,2650
"248","Bareev, Evgeny",4100140,1990-07-01,2605
"249","Bareev, Evgeny",4100140,1990-01-01,2590
"250","Bareev, Evgeny",4100140,1989-07-01,2580
"251","Bareev, Evgeny",4100140,1989-01-01,2555
"252","Bareev, Evgeny",4100140,1988-07-01,2560
"253","Bareev, Evgeny",4100140,1988-01-01,2555
"254","Bareev, Evgeny",4100140,1987-07-01,2555
"255","Bareev, Evgeny",4100140,1987-01-01,2535
"256","Bareev, Evgeny",4100140,1986-07-01,2470
"257","Bareev, Evgeny",4100140,1986-01-01,2365
"258","Bareev, Evgeny",4100140,1985-07-01,2310
"259","Bareev, Evgeny",4100140,1985-01-01,2310
"260","Bareev, Evgeny",4100140,1984-07-01,2310
"261","Bartel, Mateusz",1112635,1999-07-01,2343
"262","Bartel, Mateusz",1112635,1999-01-01,2331
"263","Bartel, Mateusz",1112635,1998-07-01,2160
"264","Bartel, Mateusz",1112635,1998-01-01,2170
"265","Bartel, Mateusz",1112635,1997-07-01,2140
"266","Bartel, Mateusz",1112635,1997-01-01,2135
"267","Bauer, Christian",603767,1999-07-01,2480
"268","Bauer, Christian",603767,1999-01-01,2528
"269","Bauer, Christian",603767,1998-07-01,2490
"270","Bauer, Christian",603767,1998-01-01,2520
"271","Bauer, Christian",603767,1997-07-01,2525
"272","Bauer, Christian",603767,1997-01-01,2505
"273","Bauer, Christian",603767,1996-07-01,2465
"274","Bauer, Christian",603767,1996-01-01,2430
"275","Bauer, Christian",603767,1995-07-01,2420
"276","Bauer, Christian",603767,1995-01-01,2430
"277","Bauer, Christian",603767,1994-07-01,2420
"278","Bauer, Christian",603767,1994-01-01,2475
"279","Bauer, Christian",603767,1993-07-01,2485
"280","Bauer, Christian",603767,1993-01-01,2505
"281","Bauer, Christian",603767,1992-07-01,2325
"282","Bauer, Christian",603767,1992-01-01,2275
"283","Berkes, Ferenc",718572,1999-07-01,2353
"284","Berkes, Ferenc",718572,1999-01-01,2351
"285","Berkes, Ferenc",718572,1998-07-01,2290
"286","Berkes, Ferenc",718572,1998-01-01,2230
"287","Berkes, Ferenc",718572,1997-07-01,2220
"288","Brkic, Ante",14506688,1999-07-01,2221
"289","Bu, Xiangzhi",8601445,1999-07-01,2465
"290","Bu, Xiangzhi",8601445,1999-01-01,2365
"291","Bu, Xiangzhi",8601445,1998-07-01,2290
"292","Cheparinov, Ivan",2905540,1999-07-01,2101
"293","Cheparinov, Ivan",2905540,1999-01-01,2101
"294","Cheparinov, Ivan",2905540,1998-07-01,2110
"295","Cheparinov, Ivan",2905540,1998-01-01,2145
"296","Cheparinov, Ivan",2905540,1997-07-01,2145
"297","Chernin, Alexander",715620,1999-07-01,2619
"298","Chernin, Alexander",715620,1999-01-01,2604
"299","Chernin, Alexander",715620,1998-07-01,2610
"300","Chernin, Alexander",715620,1998-01-01,2645
"301","Chernin, Alexander",715620,1997-07-01,2640
"302","Chernin, Alexander",715620,1997-01-01,2635
"303","Chernin, Alexander",715620,1996-07-01,2620
"304","Chernin, Alexander",715620,1996-01-01,2595
"305","Chernin, Alexander",715620,1995-07-01,2600
"306","Chernin, Alexander",715620,1995-01-01,2600
"307","Chernin, Alexander",715620,1994-07-01,2615
"308","Chernin, Alexander",715620,1994-01-01,2630
"309","Chernin, Alexander",715620,1993-07-01,2615
"310","Chernin, Alexander",715620,1993-01-01,2605
"311","Chernin, Alexander",715620,1992-07-01,2600
"312","Chernin, Alexander",715620,1992-01-01,2620
"313","Chernin, Alexander",715620,1991-07-01,2605
"314","Chernin, Alexander",715620,1991-01-01,2610
"315","Chernin, Alexander",715620,1990-07-01,2600
"316","Chernin, Alexander",715620,1990-01-01,2600
"317","Chernin, Alexander",715620,1989-07-01,2580
"318","Chernin, Alexander",715620,1989-01-01,2580
"319","Chernin, Alexander",715620,1988-07-01,2565
